Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Atawurah, Henry","M.D. (Rostov Med. Inst.),Sp. Cert. In Urology (Rostov State Med. Inst.)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Atefah, Nana Kwadwo Kissi","M.B., Ch.B (UCC-SMS)",,"P. O. Box DK 389, Accra"
"Ateng-Bey, Emmanuel Achaab","M.D (Donetsk State Med. Inst., Ukraine)",Tafo Government Hosp,"P. O. Box SN 630, Santase, Kumasi"
"Ati, Emmanuel","M.B., Ch.B (KNUST-SMS),F.G.C.P (G.C.P.S.)",Family Medicine Directorate,"P. O. Box 9355, Kumasi"
"Atia, Fidelis","M.B., Ch.B (KNUST-SMS)",Jasikan District Hospital,"P. O. Box 83, Jasikan"
"Atidepe, Afiwoa Elom","M.D. (Univ. Of Kiril & Metodij Skopje, Yugoslavia),Cert. in Mamography (Univ. Piere et Marie Curie,,Dip. in Public Health & Hyg. (Univ. Piere et Maie Curie)",Focos Orthopaedic Hospital,
"Atikpui, Eli Kwasi","M. B., Ch.B (KNUST-SMS),M.P.H (Univ.of Leeds)",,"P. O. Box AN 10586, Accra"
"Atimpo, Semenyo Kweku","M.B., Ch. B. (U.G.M.S),M.P.H. (UG)",North Daye Dist. Health Directorate,"P. O. Box 37, Anfoega."
"Atindaana, Maxwell Akugbire","M. B., Ch.B. (UDS-SMHS)",,"P. O. Box TL 846 Tamale, Northern"
"Atindama, Solomon","M.B., Ch.B (U.G.M.S)",Navrongo Hospital,"P. O. Box 34, Navrongo"
"Atito-Narh, Evans","M. B., Ch.B (KNUST-SMS),Dip. in Anaesthesia (WACS)",Ridge Hospital,"P. O. Box 473, Accra"
"Ativor, Vincent","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS),F.G.C.S (GCPS)",Dept. of Trauma And Orthopaedics,
"Ato-Davies, Samuel Peter","M.B., Ch.B (KNUST-SMS),",Dept. of Accidents & Emergency,"P. O. Box 1934,"
"Atobrah, Patrick","M.B., Ch.B (UGMS),MSc. Trop. Paed. (Univ. of Liverpool),Dip. in Child Health (Univ. of Liverpool)",Upper East Regional Hospital,
"Atomo-Hammond, Obed H.","M.B., Ch.B (UGMS)",Dept. of Obst./Gynae,
"Atsem, Nana Aba","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,
"Atsu-Agbomanyi, Edinam","M.B., Ch.B (U.G.M.S)",,"P. O. Box 1636, Tema"
"Atsu, Seth Komla","M.D. (University of Bochum, Germany),Sp. Cert. in Paed. (North-Rhine Chamber of Phy.)",Hobats Clinic,"P. O. Box AH 270, Achimota"
"Atta-Fynn, Doreen","M.B., Ch.B (U.G.M.S),M.G.C.P. (G.C.P.S.)",LEKMA Hospital,
"Attafuah , Naana Adoma",M.D. (Sumy State Medical University),Apam Catholic Hosp,"P. O. Box 3, Apam-Central Region"
"Attah-Nantogma, Salamatu","M.B., Ch.B (KNUST-SMS)",Maamobi General Hospital,"P. O. Box 184, Maamobi"
"Attah, Ellis Kofi Nutifafa",M.B.B.S. (China Med. Univ.),Greater Accra Regional Hospital,"P. O. Box 473, Accra"
"Attiabah, Eric","M.B., Ch.B (KNUST-SMS)",St. Michael’s Hospital,
"Attiogbe, Francis Kwashie","M.B., Ch.B (U.G.M.S)",Fesss Family Healthcare,
"Attipoe-Djagmah, Gabriel","M.B., Ch.B (U.G.M.S)",Akuse Gov’t Hospital,"P. O. Box 3, Akuse"
"Attipoe, Hope Fridolin","M.D. (St. Petersburg Med. University),M.P.H. (Uinversity of Ghana)",37 Military Hospital.,
"Attipoe, Robert Senanu","M.D. (Tver State Med., Inst., Russia Fed.)",,"P. O. Box M 44, Ministries- Accra"
"Attobrah Sarfo , Maame Anima","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS),M.W.A.C.P (WACP)",Dept. of Child Heath,"P. O. Box KS 1934, Kumasi"
"Attoh, Edmund Nee","M.B., Ch.B (U.G.M.S),M.R.C.O.G (RCOG, UK)",Betmis Maternity Home & Clinic,"P. O. Box GP 2193, Accra"
"Attoh, Gordon Nii Armah","M.B., Ch.B (U.G.M.S)",Pentecost Hospital,"P. O. Box GP 20790, Accra"
"Attoh, Katherine Attohdeedei","M. B., Ch.B (U.C.C-SMS)",,
"Attoh, Seth Andrews","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Attram, Daniel Amanor","M.B., Ch.B (U.G.M.S)",Effia Nkwanta Hospital,
"Attu, Martin Kwadwo","M.B., Ch.B (U.G.M.S)",Holy Family Hospital,
"Attua, Nyaneba","M.B., Ch.B (U.G. -S.M.D.)",,"P. O. Box AT 1126, Achimota, Accra"
"Attuah, Kwame","M.B., Ch.B (U.G.M.S)",Otoi Orthopaedics hospital,
"Attuah, Samuel Koranteng","M.B., Ch.B (UG-SMD)",,
"Attuquayefio, Sheila Naa Klorkor","M.B., Ch.B (U.G.M.S),M.G.C.P. (GCPS)",Dept. Of Medicine,"P. O. Box 201,"
"Atuah, Osei Kwame","M.B., Ch.B (U.G.M.S),Dip. In Ophthalmology (RCS, London)",,"P. O. Box TN 417, Teshie-Nungua, Accra"
"Atuahene, Felicity Gyamfuah",B.D.S (U.G.D.S),Adabraka Polyclinic,
"Atuguba, Bernard Hayford","M.B., Ch.B (U.D.S)",Catholic Hospital,"P. O. Box 2, Battor"
"Atuguba, Frank Achembona","M.B., Ch.B. (U.G.M.S),M.P.H. (Harvard University),M.G.C.P (G.C.P.S)",Navrongo Health Reseach Centre,"P. O. Box 114, Navrongo"
"Atuobi, Irene Boatemah",M.D (1st Moscow State Med. Inst.),Ga West Municipal Hospital,
"Atutonu, Frank Mawusi",M.D. (Belgorod State Med. Univ.),37 Military Hospital,
"Atuwo-Ampoh, Richard",B.D.S (U.G.D.S),Kumasi South Hospital,"P. O. Box KS1908, Kumasi"
"Atuwo, Gabriel Kwami","M.D. (Vinnitsa Med. Inst., Ukraine),Dip.in Mental Health (WACP)",Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Augustt, Eugune Carl","M.B., Ch.B (U.G.M.S)",Obuasi Health Center,"P. O. Box 1004, Obuasi"
"Avemegah, Delali Kodzo","M.B., Ch.B (UG-SMD)",C/O Avemegah Desmond Kofi Selorm,
"Avogo, Dominic",B.D.S (U.G.D.S),Dept. of Oral & Maxilofacial Surgery,"P. O. Box77,Accra"
"Avoka, Anthony Akubase","M.B., Ch.B (UDS-SMHS)",Holy Family Hospital,
"Avokey, Kofi Mawuli Maxwell","M.B., Ch.B (Univ. of Ibadan, Nigeria)",Nelmax Clinic,"P. O. Box CE 11097, Comm. 11, Tema"
"Avonsige, Anita Barbara","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Avorkliya, Louis",M.D (St. Persburg State Med. Univ.),Tema General Hospital,
"Avotri, Dzorgbenyo",B.D.S. - U.G.D.S.,Lighthouse Mission Hospital,
"Awa, Richard","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Awagah, Solomon","M.B., Ch.B. (KNUST-SMS)",Dept. of Radiology.,"P. O. Box KS 1934, Kumasi"
"Awal-Hadi, Mohammed",M.D. (Vrije Univ.),VU Univ. Medical Center,
"Awari, Joselyne Fulera","M.B., Ch.B (KNUST-SMS)",BA Regional Hospital,"P. O. Box 27, Sunyani"
"Awekeya, Hectoria","M.B., Ch.B. ( UDS-SMHS)",Regional Hospital,"P. O. Box 201, Koforidua"
"Awindaogo, Felix Razak","M.B., Ch.B (KNUST-SMS)",Osler Medical,"P. O. Box TN 1352, Teshie-Nungua"
"Awindaogo, Freeman Francis","M.B., Ch.B (U.G.M.S)",AMC,
"Awindaogo, Joseph Kebo","M.B., Ch.B (U.D.S-S.M.H.S)",Cape Coast Teaching Hospital,
"Awoonor-Williams, John Korku","M.D. (MINSK STATE MED. INST.),M.P.H. (UNIV. OF LEEDS)",Ghana Health Service,
"Awoonor-Williams, Ronald","M.B., Ch.B (KNUST-SMS)",Dept. of Trauma & Ortho.,"P. O. Box KS 1934, Kumasi"
"Awuah, Baffour","M.B., Ch.B (KNUST-SMS),F.R.C.A.D (College of Med. of South Africa)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Awuah, Dominic Otto","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box 1934, Kumasi"
"Awuah, Michael Kwaku","M.B., Ch.B (KNUST-SMS)",,"P. O. Box B251, Kumasi"
"Awuah, Patrick",B.D.S (U.G.D.S),,"P. O. Box Kn 3125, Kaneshie, Accra"
"Awuah, Peter","M.B., Ch.B (KNUST-SMS)",Dept. of ENT,
"Awuah, Peter Clement","M.B., Ch.B (U.G.M.S)",Atwima Maakro Hospital,"P. O. Box 131, Nkawie"
"Awudu, Rahman Amida","M.B., Ch.B (KNUST-SMS)",Ccommuity Hospital,
"Awuku-Asabre, Joseph Sarfo","M.B., Ch.B (U.G.M.S)",,"P. O. Box BT 302, Comm 2, Tema"
"Awuku, Aimee Nana Aba","M.B., Ch.B. (UCC-SMS)",,"P. O. Box AN 12840, Accra-North"
"Awuku, Gloria Abena","M.B., Ch.B (UCC-SMS)",37 Military Hospital,
"Awuku, Kwabena Darko","M.B., Ch.B (KNUST-SMS)",St. Dominic’s Hospital,"P. O. Box 59, Akwatia"
"Awuku, Nana Agyeiwah","M.B., Ch.B (U.G.M.S)",Dept. of Haematology,"P. O. Box 77, Korle-Bu, Accra"
"Awuku, Samuel Offei","M.B., Ch.B ((KNUST-SMS),F.W.A.C.S (W.A.C.S)",Post-Graduate College,
"Awuku, Yaw Asante","M.B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP)",Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Awumbila, Aisha Gosying","M.B., Ch.B (U.G.M.S)",Dept. of Child Health,
"Awunyo-Akaba, Eyra Yaw","M.B., Ch.B. ( U.G.M.S.),",C and J Medicare Hospital and Diagnostic Center,
"Awusi-Nti, Cynthia Doreen","M.B., Ch.B. (UCC-SMS)",Korle Bu Teaching Hosp,"P. O. Box KB 977, Korle-Bu, Accra."
"Awuvafoge, Petrina","M.B., Ch.B. ( UDS-SMHS)",Nkawie Gov’t Hospital,
"Awuviri, Henry Wedaga","M.D. (Vinnitsa State Med. Univ.),Dip. in Anaesthesia (WACS)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Ayaaba, Ruth Aseberah","M.B., Ch.B (U.D.S-S.M.H.S)",Kibi Government Hospital,
"Ayabilah, Edwina Ayaaba","M.B., Ch.B (U.C.C-S.M.S)",,
"Ayamba, Samuel","M.B., Ch.B (KNUST-SMS)",Ayamba Initiative Ltd. P,"P. O. Box 96, Kintampo"
"Ayambire, Anthony Akuribire","M.B., Ch.B. (UDS-SMHS)",West Gonja district Hospital,"P. O. Box 18, Damango"
"Ayamga, Judith","M.B., Ch.B. ( UDS-SMHS)",St. Mary’s Hospital,
"Ayawin, Joshua Phillip","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box KS 10956, Kumasi"
"Ayebilla, Paul","M.B., Ch.B. ( UDS-SMHS)",Bimbilla Hospital,"P. O. Box 52, Bimbilla."
"Ayeboa-Sallah, Benjamin","M.B., Ch.B (UGMS)",,"P. O. Box KB 1028, Korle-Bu, Accra"
"Ayeh, Akosua Agyeibea","M.B., Ch.B (KNUST-SMS)",Madina Polyclinic,
"Ayeh, Samuel Kwakye","M.B., Ch.B. (U.G.M.S.)",St. Gregory Catholic Hosp,
"Ayembillah, Faisal Ghessiwinde","M.B., Ch.B. (KNUST-SMS)",Ghana Police Hospital,
"Ayensu-Danquah, Grace","M.D (Univ. Of Wisconsin),Burn Fellowship-Surgery (univ. Of Wisconsin)",Polo Heights Tower 3,
"Ayensu, Marian","M.B., Ch.B. (KNUST-SMS)",Kumasi South Hospital,
"Ayensu, Semua Kofi","M.B., Ch.B (U.D.S.),M.G.C.S. (GCPS)",Adidome Government Hospital,
"Ayepah, Christabel","M.B., Ch.B (KNUST-SMS)",Shama Health Centre,"P. O. Box EK 79, Effia Kuma, Takoradi"
"Ayerh, Nii Anum","M.B., Ch.B (U.G.M.S),F.G.C.P. (G.C.P.S)",Port Medical Centre,"P. O. Box 1593, Tema"
"Ayertey, Hayford Tetteh","M.B., Ch.B (UGMS)",Dept. of Medicine,
"Ayertey, Roland Padi","M.B., Ch.B (UGMS),F.W.A.C.S Obst./Gynae, (WACS)",Resolve Medical Services,
"Ayesu-Gyan, Stephen Kojo","M.B., Ch.B (U.G.M.S)",Esidem Hospital,"P. O. Box 210, Aburi"
"Ayete Labi, Athanasius Kwaku A.",M.D. (Hubert Kairuki Memorial University),Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Ayetey, Harold",M.B.BChir (Uiniversity of Cambridge),Dept. of Medicine,
"Ayettey Brew, Ruth Naa Adoley","M.B., Ch.B (U.G.M.S)",Holy Family Hospital,
"Ayettey-Adamafio, Mary N. B.",B.D.S (U.G.D.S),Korle Bu Teaching Hospital,
"Ayettey, Joseph Mensah","M.D (Lvov State Med. Inst.,Ukraine),PhD Med. Sciences (Moscow)",Adenta Clinic,"P. O. Box CT 1002, Cantonments, Accra"
"Ayi-Bisah, Hedda","M. B., Ch.B. (UDS-SMHS)",,"P. O. Box TL 16 Tamale,"
"Ayi-Bonte, Geoffrey Joshua","M.D. (Univ. of Muenster, Germany)",,"P. O. Box CT 4908, Cantonments, Accra"
"Ayi, Bertha Serwa","M.B., Ch.B (U.G.M.S),Dip. In Infectious Disease (ABIM)",C & J Medicare Hospital,
"Ayibor, Prosper Kwame","M.B., Ch.B (KNUST-SMS),MSc. Medicine (C.H.C.P) (Univ. of The Witwatersrand)",37 Military Hospital,
"Ayikutu, Gabriel Kweku","M.B., Ch.B (UGMS)",St. Dominic Hospital,"P. O. Box 59, Akwatia."
"Ayim, Harry Boateng",B.D.S (UG-SMD),VRA Hospital,
"Ayim, Samuel Amoah Kwadwo","M.B., Ch.B (U.G.M.S)",,"P. O. Box BC 235, Burma Camp"
"Ayim, Yaanieta Ama-Mansa","M.B., Ch.B (KNUST-SMS)",Maternal & Child Health Hospital,"P. O. Box 1231, Kumasi"
"Ayim, Yaw Ampofo","M.B., Ch.B (KNUST-SMS)",St. Mark Hospital,
"Ayimadu, Irene Dansowaa","M. B., Ch.B. (UDS-SMHS)",Effia-Nkwanta Reg Hospital,
"Ayinga, Halidu Salifu","D.D.S (HIMS, Cuba),M.G.C.S (GCPS)",37 Military Hospital,
"Ayisi-Ahwireng, Kwadwo","M.B., Ch.B (U.G.M.S)",Prime Care Med. Center,"P. O. Box 17366, Accra"
"Ayisi-Boateng, Esinam","M.B., Ch.B (KNUST-SMS)",KATH,"P. O. Box KS 1934, Kumasi."
"Ayisi-Boateng, Ofori N. Kwame","M.B., Ch.B (KNUST-SMS)",University Hospital,
"Ayisi, Kwame","M. B., Ch.B (KNUST-SMS)",Ghana Police Hospital,
"Ayobi, Andul Rahman","M.B., Ch.B (UDS-SMHS)",C/O P,
"Ayodeji, Emmanuel Kafui","M.B., Ch.B (U.G.M.S)",Police Hospital,
"Ayrakwa, Stephen Dodzi","M.D (Higher Inst. of Med. Sc., Cuba),M.P.H (UG)",Asamankese Gov’t Hospital,"P. O. Box 120, Asamankese"
"Ayugane, Cephas",B.D.S (U.G.D.S),Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Azaare, Nsoh","M.D (Minsk State Med. Inst.),PG Diploma Molecular/Genetic Med.(Univ. Sheffield)",Gushiegu District Hospital,"P. O. Box 3, Gushiegu"
"Azalekor, Grace Adjoa","M.B., Ch.B. – U.G.M.S.",Nat. Centre for Radiotheraphy and Nuclear Medicine,
"Azantilow, Kennedy Azagsuk","M.D. (Rostov State Medical Univ.),Sp. In General Surgery (Rostov State Med. Univ.)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Azanu, Wisdom Klutse","M.B., Ch.B. (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Dept of Obs/Gynae,
"Azanzum, Matilda Awingura","M.B., Ch.B. (UDS-SMHS)",Upper West Regional Hospital,"P. O. Box 6, Wa"
"Azas, Alberta","M.B., Ch.B (U.G.M.S)",KBTH,
"Azas, Lawrencia","M.B., Ch.B (KNUST-SMS)",,
"Azeez, Kabiru Kordele",M.B.B.S (Univ. of Ibadan),University of Cape Coast Hospital,
"Azindow, Sarah Sugru","M.B., Ch.B. (U.G.M.S.)",Municipal Hospital,
"Aziz, Dalatu","M.D. (Univ. of Istanbul),M.G.C.S. (G.C.P.S.)",Oda Community Hosp,"P. O. Box 843, Oda."
"Azorliade, Roland","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Azumah, Gameli Thywill","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra."
"Azumah, Mabel Delali",BDS. (KNUST-DS),Komfo Anokye Teaching Hospital,"P. O. Box 1934, Kumasi"
"Azungah, Joyce Ndebila","M.B., Ch.B (UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Baabiineh, Philip Kwadwo Krah","M.B., Ch.B. (UDS-SMHS)",Upper West Regional Hospital,"P. O. Box 6, Wa"
"Baabu, Bright Sasu","M.B., Ch.B (U.G.M.S)",,"P. O. Box 4697, Accra."
"Baafi, Eric Aninkorah","M.B., Ch.B. (KNUST-SMS)",Dept of Obst & Gynae,
"Baah, Patrick Akwesi",B.D.S (U.G.D.S),University of Cape Coast Hospital,
"Baah, Thomas Tontie","M. B., Ch.B (KNUST-SMS),Dip. in Opthalmology (WACS),MSc. in Comm. Eye Health (Univ. Of London)",Save the Nation’s Sight Clinic,"P. O. Box 18197, KIA, Accra"
"Baah, Winfred Korletey","M.B., Ch.B (U.G.M.S),M.G.C.P (GCPS),M.W.A.C.P (WACP)",Korle Bu Teaching Hospital,"P. O. Box KB 77, Korle-Bu, Accra"
"Baako, Benjamin Narh","M.B., Ch.B (UGMS)",Dept. of Surgery,
"Baaye, Beatrice Kissiwaa","M.B., Ch. B. (U.G.M.S)",Korle – Bu Teaching Hospital,
"Baba, Ibrahim","M.B., Ch.B (U.G.M.S)",,"P. O. Box ST219, Stadium-Kumasi"
"Baba, Zenabu","M.B., Ch.B (U.G.M.S)",37 Military Hospital,
"Bacho, Rita","M.B., Ch.B. ( UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Baddoo, Daniel Tettey","M.B., Ch.B (U.G.M.S),Part II Fellowship (WACS)",Dept. of Surgery,"P. O. Box KB 77, Korle-Bu, Accra"
"Baddoo, Henry Hood Kpakpo","M.B., Ch.B (U.G.M.S),F.F.A.R.C.S (RCS, England),F.R.C.S (RCS, Edinburg)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Baddoo, Nyonuku Akosua","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP)",Nat. AIDS/STI Control Prog./GHS,"P. O. Box KB 895,"
"Badoe, Ebenezer Vincent","M.B., Ch.B (U.G.M.S),M.R.C.P (RCP, UK),M.R.C.P & C.H (UK)",Dept of Child Health,
"Badu-Peprah, Augustina","M.B., Ch.B (KNUST-SMS),F.W.A.C.S(Radiology) (WACS)",Dept. of Radiology,"P. O. Box 1934, Kumasi"
"Badzi, Dominic","M.B., Ch.B (U.G.M.S)",Cocoa Clinic,"P. O. Box 933, Accra"
"Baeta, Dinah Senam Victoria","M.B., Ch.B (U.G.M.S)",37 Military Hospital Accra,
"Baeta, William Rawstron","M.D. (Univ. of Gottingen),Sp. Cert. Obst. /Gynae. (Univ. Westafalen-L. Munster )",Baeta Clinic,"P. O. Box OS 1466, Osu Accra"
"Baffoe-Bonnie, Benjamin","M.D (Univ. of Mainz),Sp. Cert. In Paediatrics (Arztekammer Niedersandisen)",Prima Medical Center,"P. O. Box 405155, Kumasi"
"Baffoe-Bonnie, Terrylyna","M.B., Ch.B (KNUST-SMS),",C/O Dept. Of Anaesthsia,
"Baffoe, Esi S. Sarah","M.B., Ch.B (UGMS),F.W.A.C.S (WACS),F.G.C.P.S (GCPS)",Effia-Nkwanta Regional Hospital,"P. O. Box 229, Takoradi"
"Baffoe, Peter","M.D (Higher Inst. of Med. Sciences, Cuba),Sp. Cert. in Obst./Gynae (Santiago Med. Sch., Cuba)",Upper East Regional Hospital,"P. O. Box AF 2120, Adenta"
"Baffour-Awuah, Kwame","M.B., Ch.B (U.G.M.S)",1st Foundation Clinic,"P. O. Box MP 3061, Mamprobi, Accra"
"Baffour-Awuah, Lorraine","M.B., Ch.B. (SMS-KNUST)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Baffour-Duah, Kennedy","M.B., Ch.B (U.G.M.S)",Finney Hospital and Fertility Centre,
"Baffour, Agyeman Ramseyer M.","M.B., Ch.B (KNUST-SMS)",Dept. of Obs/Gyn,"P. O. Box KS 1934, Kumasi"
"Baffour, Kofi Opoku","M.B., Ch.B (KNUST-SMS)",Dept of Obst/Gyn,"P. O. Box KS 1934, Kumasi"
"Bah, Peter Nji","M.B., Ch.B (UGMS)",Our Lady of Grace Hospital,
"Baiden, Frank Ekow","M.B., Ch.B (UGMS),MSc. In Disease Control (Inst. Of Trop.Med.,Antwerp)",Ensign College of Public Health,"P. O. Box AB 136,"
"Baiden, Richard","M.B., Ch.B. (KNUST-SMS)",Ashongman Community Hospital,"P. O. Box LG 1041, Accra"
"Baidoe-Ansah, Frank","M.B., Ch.B (U.G.M.S),M.G.C.S (GCPS)",Takwa Municipal Hospital,"P. O. Box 10, Tarkwa"
"Baidoo-Williams, Angela","M.B., Ch.B (U.G.M.S)",The Trust Hospital,
"Baidoo-Williams, Frank","M.B., Ch.B (U.G.M.S)",Lake Side Clinic,"P. O. Box LG 344, Legon, Accra"
"Baidoo, Abraham Frimpong","M.B., Ch.B (KNUST-SMS)",Dept. of Obst./Gynae. KBTH,
"Baidoo, Ebikela Ivie","M.B.B.S (Univ. of Port Harcourt),F.W.A.C.S (WACS)",Cape Coast Teaching Hospital,
"Baidoo, Francis Eshun","M.B., Ch.B (UCC-SMS)",Bibiani Government Hosptial,
"Baidoo, Kenneth Kojo Koranteng","M.D. (Vinnitsa State Med. Inst., Ukraine),Dip. In Otorhinolaryngology (WACS),F.W.A.C.S (WACS)",ENT Unit KBTH,
"Baidoo, Paa Kwesi","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS),M.W.A.C.S (WACS)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra"
"Baidoo, Richard Ogirma","M.B.B.S (Usmanu Danfodiyo Univ., Sokoto),F.W.A.C.S (WACS)",Dept. of Surgery,
"Bainson, Kobina Atta","M.B. Ch.B (U.G.M.S),Dip. Dertamology (Univ. of London),M.P.H. (Univ. of Maastricht)",Toppcare Clinic,
"Bakah, Shelter",M.D (Russian Nat. Med. Research Univ.),Airport Clinic,
"Bakari, Ashura Mussa","M.D (Dokuz Eylul Univ.),M.G.C.P (GCPS)",Suntreso Govt. Hospital,
"Bakari, Magdalene Dari","M.B., Ch.B (U.G-SMD)",Tarkwa Mine Hospital,
"Balinia, Theophilus Pwase Adda","M.B., Ch.B. (KNUST-SMS),",Naval Base Sickbay,
"Ballu, Sibiri","M.B., Ch.B (KNUST-SMS)",Methodist Hospital,"P. O. Box 55, wenchi"
"Bamfo, Emmanuel","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Anaesthesia,"P. O. Box KS 1934, Kumasi"
"Bampoe Addo, Janet Nanaoye","M.D. (The Johann Wolfgang Goethe U.),D.C.H & T.M (Univ. of Heidelberg),Sp. Physician of Diagnostic Radiology,(Sudwurttemburg)",,"P. O. Box CT 2954, Cantonments, Accra"
"Bampoh, Sally Afua","M.B., Ch.B (KNUST-SMS),W.A.C.P (WACP),M.G.C.P (GCPS)",Dept. Of Internal Medicine,
"Banahene, Marie Fosua","M.B., Ch.B (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box 1934, Kumasi"
"Banda, Abdul-Majeed Bukari","M.B., Ch.B (U.D.S)",Dept. of Pshychiatry KATH,"P. O. Box KS 1934, Kumasi"
"Bandoh, Anthony Kofi","M.B., Ch.B (U.G.M.S),M.R.C.S (RCS, UK)",37 Military Hospital,
"Bandoh, Dickson Kwadwo","M.B., Ch.B (KNUST-SMS)",Tamale Teaching Hospital,"P. O. Box 16, Tamale"
"Bandoh, Irene","M.B., Ch.B. (UDS-SMHS)",Dept. of Anaesthesia ,"P. O. Box 1934, Kumasi"
"Bandoh, Salome","M.B., Ch.B (U.G.M.S),M.W.A.C.P (WACP),M.G.C.P (GCPS)",La General Hospital,
"Banful, Richard","M.B., ChB (U.G.M.S),F.C.O.G (College of Medicine, SA),M.R.C.O.G (RCOG, London)",Medifem Specialist Hospital,"P. O. Box 9131, KIA, Accra"
"Bani, Fathea","M.B., Ch.B. (UDS-SMHS)",Tamale Teaching Hospital,"P. O. Box TL 16, Tamale"
"Banin, John Gyasi Godswill","M.B., Ch.B. (U.G.M.S.)",St. Martin’s hospital,"P. O. Box 8298 Agroyesum,"
"Baning, Frank","M.B., Ch.B. (U.G.M.S),M.W.A.C.P. (WACP)",Pantang Hospital,"P. O. PL 81, Legon"
"Bankah, Elizabeth Mabel","M.B., Ch.B (UGMS)",Korle Bu Polyclinic,
"Bankah, Patrick Ekow","M.B., Ch.B (UGMS),F.W.A.C.S (WACS)",Dept. of NeuroSurgery,
"Bannerman, Cynthia","M.B., ChB (U.G.M.S),M.P.H (Univ. of Leeds),F.G.C.P. (G.C.P.S.)",Ghana Health Service,"P. O. Box GP 3994, Accra"
"Bannerman, Elizabeth Henrietta","M.B., Ch.B (U.G.M.S)",Beth’s Clinic,"P. O. Box AN 11284, Latebiorkorshie, Accra"
"Bannerman, Emmanuel","M.B., Ch.B (UG-SMD)",,"P. O. Box 3183 Accra,"
"Bansah, Eyram Cyril","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra"
"Banson, Mabel","M.B., Ch.B (U.G.M.S),M.B., ChB (UGMS)",Korle Bu Teaching Hospital,"P. O. Box 77, Korle-Bu, Accra"
"Barihama, Adam","M.D. (Xavier Univ. Sch. Of Medicine, Aruba)",Gushegu,"P. O. Box GU 3,Gushegu"
"Barima-Poku, Alexander Hage","M.B., Ch.B (KNUST-SMS)",St. Anthony’s Hospital,"P. O. Box 11, Dzodze"
"Barnes, Jacqui","M.B., Ch.B (KNUST-SMS)",,"P. O. Box CT 698, Cantonments"
"Barnes, Nana Ama","M.B., Ch.B (UGMS),M.W.A.C.P (WACP)",Effia Nkwanta Regional Hospital,"P. O. Box 229, Sekondi"
"Barnie-Asenso, James","M.D. (Vinnitsa Med. Inst., Ukraine)",AngloGold Ashanti Hosp,"P. O. Box 27, Obuasi"
"Barnor, Esther Ewurama","M.B., Ch.B (KNUST-SMS)",Dept. of Anaesthesia,"P. O. Box 77, Korle-Bu, Accra"
"Barnor, Isaac Okyeremah K. Jnr.","M.B., Ch.B (KNUST-SMS)",St. Peter’s Hospital,"P. O. Box KS 9495, Kumasi"
"Barnor, Veronica","M. B., Ch.B (KNUST-SMS),M.G.C.P. (GCPS),MWACP (WACP)",",,",
"Barnor, Victoria","B.D.S (Univ. of Giessen, Germany),",North Labone Dental Clinic,"P. O. Box MP 850, Mamprobi"
"Bart-Plange, Esi Yacoba","M.B., Ch.B (UG-SMD)",,"P. O. Box CT 330, Cantonments-Accra"
"Bartels, Stephen Osei Yaw","M.B., Ch.B (UG-SMD)",La General Hospital,
